1678602747.529794 client started (45384): version 3.3a, socket /private/tmp/tmux-36154/default, protocol 8
1678602747.529848 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:42:11 PST 2023; root:xnu-8792.81.3~2/RELEASE_X86_64
1678602747.529873 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1678602747.533643 sending message 112 to peer 0x7fc280008000 (15 bytes)
1678602747.533651 sending message 104 to peer 0x7fc280008000 (0 bytes)
1678602747.533659 sending message 110 to peer 0x7fc280008000 (0 bytes)
1678602747.533665 sending message 107 to peer 0x7fc280008000 (4 bytes)
1678602747.533671 sending message 105 to peer 0x7fc280008000 (16 bytes)
1678602747.533677 sending message 105 to peer 0x7fc280008000 (71 bytes)
1678602747.533683 sending message 105 to peer 0x7fc280008000 (24 bytes)
1678602747.533689 sending message 105 to peer 0x7fc280008000 (24 bytes)
1678602747.533695 sending message 105 to peer 0x7fc280008000 (31 bytes)
1678602747.533701 sending message 105 to peer 0x7fc280008000 (27 bytes)
1678602747.533707 sending message 105 to peer 0x7fc280008000 (14 bytes)
1678602747.533713 sending message 105 to peer 0x7fc280008000 (20 bytes)
1678602747.533719 sending message 105 to peer 0x7fc280008000 (22 bytes)
1678602747.533725 sending message 105 to peer 0x7fc280008000 (45 bytes)
1678602747.533731 sending message 105 to peer 0x7fc280008000 (43 bytes)
1678602747.533737 sending message 105 to peer 0x7fc280008000 (53 bytes)
1678602747.533743 sending message 105 to peer 0x7fc280008000 (53 bytes)
1678602747.533749 sending message 105 to peer 0x7fc280008000 (25 bytes)
1678602747.533755 sending message 105 to peer 0x7fc280008000 (82 bytes)
1678602747.533762 sending message 105 to peer 0x7fc280008000 (17 bytes)
1678602747.533768 sending message 105 to peer 0x7fc280008000 (12 bytes)
1678602747.533774 sending message 105 to peer 0x7fc280008000 (52 bytes)
1678602747.533780 sending message 105 to peer 0x7fc280008000 (47 bytes)
1678602747.533786 sending message 105 to peer 0x7fc280008000 (28 bytes)
1678602747.533792 sending message 105 to peer 0x7fc280008000 (61 bytes)
1678602747.533808 sending message 105 to peer 0x7fc280008000 (63 bytes)
1678602747.533816 sending message 105 to peer 0x7fc280008000 (65 bytes)
1678602747.533823 sending message 105 to peer 0x7fc280008000 (29 bytes)
1678602747.533829 sending message 105 to peer 0x7fc280008000 (26 bytes)
1678602747.533835 sending message 105 to peer 0x7fc280008000 (33 bytes)
1678602747.533841 sending message 105 to peer 0x7fc280008000 (21 bytes)
1678602747.533847 sending message 105 to peer 0x7fc280008000 (45 bytes)
1678602747.533853 sending message 105 to peer 0x7fc280008000 (22 bytes)
1678602747.533859 sending message 105 to peer 0x7fc280008000 (61 bytes)
1678602747.533865 sending message 105 to peer 0x7fc280008000 (17 bytes)
1678602747.533871 sending message 105 to peer 0x7fc280008000 (19 bytes)
1678602747.533877 sending message 105 to peer 0x7fc280008000 (27 bytes)
1678602747.533883 sending message 105 to peer 0x7fc280008000 (8 bytes)
1678602747.533889 sending message 105 to peer 0x7fc280008000 (17 bytes)
1678602747.533898 sending message 105 to peer 0x7fc280008000 (32 bytes)
1678602747.533905 sending message 105 to peer 0x7fc280008000 (40 bytes)
1678602747.533911 sending message 105 to peer 0x7fc280008000 (10 bytes)
1678602747.533917 sending message 105 to peer 0x7fc280008000 (12 bytes)
1678602747.533924 sending message 105 to peer 0x7fc280008000 (11 bytes)
